"";"BirdId";"Area";"MS";"TA";"BH";"LogitH";"LogitB";"HT";"HT2";"YP";"SY";"CL";"LogitSurvWS";"U_perVolBlood";"Cort";"Cho_perVolBlood";"DS";"AgeN";"SexN";"Sex";"Age";"SeenF";"Seen";"Area_Model";"Area1";"nHT";"nHT2";"nBH";"nDS"
"388";"10474";"Prunjepolder, Oosterschelde";504;93;6,400000095;-0,180594528452557;-4,59764191998648;0,072916667;0,00531684032638889;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;30,7769021;NA;79;3;2;"M";"Adult";"0";0;"D";1;-1,24496597065546;-1,07049477343342;2,06030724844942;-0,988380048067788
"389";"10482";"Prunjepolder, Oosterschelde";572;101;4,5;NA;NA;0,070833333;0,00501736106388889;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;20,41560166;NA;79;3;2;"M";"Adult";"0";0;"D";1;-1,27544912902012;-1,08368947826706;0,181587964887469;-0,988380048067788
"390";"10472";"Prunjepolder, Oosterschelde";520;94;4,900000095;-0,122765875586813;-4,48777169186491;0,077777778;0,00604938275061729;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;15,79560156;NA;79;3;2;"M";"Adult";"0";0;"D";1;-1,17383862552446;-1,03821981394165;0,577107888218374;-0,988380048067788
"391";"10471";"Prunjepolder, Oosterschelde";510;95;4,599999905;-0,326498048363383;-4,99608551338188;0,077777778;0,00604938275061729;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;11,70189622;NA;79;3;2;"M";"Adult";"0";0;"D";1;-1,17383862552446;-1,03821981394165;0,280467828300246;-0,988380048067788
"392";"10470";"Prunjepolder, Oosterschelde";508;99;6,300000191;-0,183417447367394;-4,88914539651096;0,079861111;0,00637779705015432;2;"2017_2018";"Oosterschelde";2,43187440190775;1,46213325926478;16,45549439;13,7481399219306;79;3;2;"M";"Adult";"0";0;"D";1;-1,14335548179171;-1,02375026533463;1,96142738602544;-0,988380048067788
"393";"10469";"Prunjepolder, Oosterschelde";555;99;5,099999905;-0,342229518609646;-4,74002882292523;0,084027778;0,00706066747561728;2;"2017_2018";"Oosterschelde";2,43187440190775;0,65617105266588;17,47954414;11,6305451133899;79;3;2;"M";"Adult";"0";0;"D";1;-1,08238917969432;-0,993663795812872;0,774867615043927;-0,988380048067788
"394";"10453";"Prunjepolder, Oosterschelde";580;102;6,300000191;-0,238575402500244;-4,96847693715509;0,086111111;0,00741512343765432;2;"2017_2018";"Oosterschelde";2,43187440190775;0,990122596152823;15,5195568;11,403605769219;79;3;2;"M";"Adult";"0";0;"D";1;-1,05190603596158;-0,978046882118881;1,96142738602544;-0,988380048067788
"395";"10468";"Prunjepolder, Oosterschelde";554;98;6,300000191;-0,210379509488443;-4,83106856018135;0,090277778;0,00815007720061729;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;22,49568885;NA;79;3;2;"M";"Adult";"1";1;"D";1;-0,990939733864179;-0,945665681872439;1,96142738602544;-0,988380048067788
"396";"10473";"Prunjepolder, Oosterschelde";580;108;2,5;NA;NA;0,094444444;0,00891975300246914;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;12,42129024;NA;79;3;1;"F";"Adult";"0";0;"D";1;-0,929973446398694;-0,911754669342714;-1,79601118208726;-0,988380048067788
"397";"10490";"Prunjepolder, Oosterschelde";560;94;4,199999809;NA;NA;0,098611111;0,00972415121265432;2;"2017_2018";"Oosterschelde";2,43187440190775;NA;15,57838083;NA;79;3;2;"M";"Adult";"0";0;"D";1;-0,869007144301298;-0,876313828252417;-0,115052096019458;-0,988380048067788
